10
t = 0.0 fs
C      -1.137783910100000      0.673246240700000     -0.010473062600000
C      -1.197290543600000     -0.696116713600000      0.013613856300000
N       0.018075275300000     -1.417077339400000     -0.032885850100000
C       1.141644347800000     -0.704287305000000      0.029828110700000
C       1.165033647100000      0.711500964000000      0.017404463800000
N      -0.004760483500000      1.435306118400000     -0.007609065600000
H      -1.968110902400000      1.309402895300000      0.056556957400000
H      -1.948556550300000     -1.309699446200000      0.068590314900000
H       2.013607585100000     -1.395914447300000     -0.010098246400000
H       2.056481199900000      1.329527880300000     -0.152735370500000
10
t = 1.0 fs
C      -1.127288658843647      0.672186425523414     -0.017580874026204
C      -1.177669507552226     -0.680815406254319      0.020388709523899
N       0.009821545417519     -1.414505910591751     -0.024062667574435
C       1.131057717330214     -0.706714376914545      0.010197690382952
C       1.168369816315394      0.704139088438643      0.015603817182393
N      -0.029288526348905      1.428315556009258      0.002413728463492
H      -2.007673103316570      1.256744067328572     -0.013753851951617
H      -1.960057886398386     -1.235585464216809      0.052685022784402
H       2.092692344052829     -1.433920753989880      0.006278395855067
H       2.114079865043711      1.395739429243498     -0.118862323124424
10
t = 2.0 fs
C      -1.115603328726043      0.670633637865627     -0.023730869414672
C      -1.152253340817403     -0.667745366928050      0.025957001273976
N       0.002388907400675     -1.411791574949314     -0.014804767154426
C       1.123820939220737     -0.711204995892196     -0.007706395320418
C       1.172571710119567      0.695563198960445      0.014041951063634
N      -0.051495275606436      1.417851476129281      0.013238543163462
H      -2.050527267262793      1.210128742644612     -0.087518697322932
H      -2.023737662683940     -1.197042495340952      0.038093217302119
H       2.161481728480524     -1.455962891350218      0.021276966124730
H       2.158393788538028      1.437595510929909     -0.076712548610783
10
t = 3.0 fs
C      -1.109264123411233      0.671528356601483     -0.029851704152849
C      -1.124655260666954     -0.653389168457492      0.030648199181118
N      -0.006165496591437     -1.404858793099616     -0.003352778355097
C       1.119941614495439     -0.715686118191785     -0.024624380881663
C       1.176400571372620      0.690770764979476      0.013021629815276
N      -0.071647869449553      1.408957406544505      0.022230272376490
H      -2.098610655972357      1.166479849519573     -0.161670887932518
H      -2.110779030107514     -1.177344566344090      0.021718395689982
H       2.206920765914759     -1.453207616063863      0.033596674795116
H       2.176885316258834      1.453592262372911     -0.022852560630216
10
t = 4.0 fs
C      -1.105812513156069      0.675020922518445     -0.035177333258994
C      -1.097707909589400     -0.644466962867956      0.036039189996074
N      -0.015566340231663     -1.396613190694258      0.008490193276442
C       1.122979412216663     -0.721808858906117     -0.039335640555065
C       1.180135958643945      0.690036168792206      0.010332783428729
N      -0.087817262454108      1.401259571361444      0.032185454074422
H      -2.147115513529146      1.131616754259767     -0.230658250796034
H      -2.188549038681778     -1.170491916479360      0.008849448164686
H       2.222078016617414     -1.428256157788785      0.035727636040685
H       2.165735836589323      1.439766408113963      0.031357109661052
10
t = 5.0 fs
C      -1.107665607887842      0.680583260958398     -0.039966626373319
C      -1.071808383953281     -0.642172364637749      0.040646889309272
N      -0.025018974024675     -1.389055721147697      0.019120797217233
C       1.134403445334487     -0.732476048471480     -0.051778374588953
C       1.183974981138687      0.691180363390024      0.004852107546044
N      -0.096774843183428      1.393347068183414      0.040736679612243
H      -2.184721823005292      1.098697053198977     -0.295327775852538
H      -2.248677900743820     -1.167311622728802     -0.008942450046348
H       2.208867777844357     -1.379332102449013      0.033400690135761
H       2.136391140837846      1.390263477558270      0.084222205800501
10
t = 6.0 fs
C      -1.116620555335617      0.689752016550296     -0.043371929524606
C      -1.055099534825924     -0.644509082086720      0.044941094010056
N      -0.035380654800923     -1.381391360363040      0.029868686385401
C       1.148824260924628     -0.741865339420854     -0.064262359208767
C       1.182456710872641      0.694961468836847     -0.001560225040762
N      -0.100516528473121      1.387511540874319      0.045981145352131
H      -2.210119454919499      1.063210931195306     -0.351639949601267
H      -2.280641614577196     -1.156641732056254     -0.023295533278929
H       2.171404412271242     -1.313747042730849      0.029779793196066
H       2.088529848491561      1.324907371292531      0.143957182280343
10
t = 7.0 fs
C      -1.129890985531879      0.699242667526523     -0.046561062378344
C      -1.044416044048123     -0.649459185505484      0.047651129580048
N      -0.044857060709810     -1.375519070812618      0.040745231016549
C       1.166174268661865     -0.751275373723893     -0.075245460735936
C       1.178102077663605      0.699903734711082     -0.007524643178600
N      -0.096294709017067      1.384945785606768      0.049213117797831
H      -2.216045646790259      1.034038053849263     -0.400687846179760
H      -2.269950491409856     -1.139233695075478     -0.029643737841317
H       2.118498872562237     -1.244643323877381      0.015873443362264
H       2.034825924368735      1.257350914257358      0.192595188069752
10
t = 8.0 fs
C      -1.146266355446538      0.710270178389786     -0.050495556645491
C      -1.039951562204330     -0.655283207066955      0.048174175849975
N      -0.051466747419039     -1.372518840376967      0.054383598973972
C       1.186128072120747     -0.755324584302756     -0.085405551492911
C       1.169822130068343      0.704631845517199     -0.012501279517957
